dataset,instance,num_attempts,successful_attempts,best_cost,best_attempt_id,best_timestamp,best_solver,best_solver_args,best_solver_hyperparams,best_time_taken,cost_gap,pct_gap,note
H,H-n10-m10-k5,1,1,395.0,1,2025-10-21T01:14:55+00:00,Iterative Greedy Balanced,"{'seed': '42', 'time_limit': '10.0'}","{""destroy_proba"": 0.4, ""destroy_steps"": 3, ""destroy_T"": 1.0, ""rebuild_proba"": 0.4, ""rebuild_steps"": 1, ""rebuild_T"": 5.0}",2.7934441566467285,0.0,0.0,
H,H-n20-m15-k8,1,1,394.0,2,2025-10-21T01:14:57+00:00,Iterative Greedy Balanced,"{'seed': '42', 'time_limit': '10.0'}","{""destroy_proba"": 0.4, ""destroy_steps"": 3, ""destroy_T"": 1.0, ""rebuild_proba"": 0.4, ""rebuild_steps"": 1, ""rebuild_T"": 5.0}",4.005584955215454,,,
H,H-n3-m4-k2,1,1,332.0,3,2025-10-21T01:15:02+00:00,Iterative Greedy Balanced,"{'seed': '42', 'time_limit': '10.0'}","{""destroy_proba"": 0.4, ""destroy_steps"": 3, ""destroy_T"": 1.0, ""rebuild_proba"": 0.4, ""rebuild_steps"": 1, ""rebuild_T"": 5.0}",1.0621802806854248,,,
H,H-n30-m25-k10,1,1,433.0,4,2025-10-21T01:15:03+00:00,Iterative Greedy Balanced,"{'seed': '42', 'time_limit': '10.0'}","{""destroy_proba"": 0.4, ""destroy_steps"": 3, ""destroy_T"": 1.0, ""rebuild_proba"": 0.4, ""rebuild_steps"": 1, ""rebuild_T"": 5.0}",5.790621995925903,,,
H,H-n6-m5-k3,1,1,348.0,5,2025-10-21T01:15:08+00:00,Iterative Greedy Balanced,"{'seed': '42', 'time_limit': '10.0'}","{""destroy_proba"": 0.4, ""destroy_steps"": 3, ""destroy_T"": 1.0, ""rebuild_proba"": 0.4, ""rebuild_steps"": 1, ""rebuild_T"": 5.0}",1.65388822555542,,,
