dataset,instance,num_attempts,successful_attempts,best_cost,best_attempt_id,best_timestamp,best_solver,best_solver_args,best_solver_hyperparams,best_time_taken,cost_gap,pct_gap,note
Hust,Hust_n10_m10_k2,8,8,744,7,2025-12-28T10:46:40+00:00,ACO,"{'seed': '42', 'time_limit': '240.0'}","{""n_partials"": 40, ""n_cutoff"": 10, ""width"": 4, ""q_prob"": 0.72, ""alpha"": 1.36, ""beta"": 1.38, ""omega"": 3, ""phi"": 0.43, ""chi"": 1.77, ""gamma"": 0.4, ""kappa"": 2.34, ""sigma"": 12, ""rho"": 0.62}",14.012611627578735,,,
Hust,Hust_n3_m3_k2,8,8,54,2,2025-12-23T13:21:49+00:00,GREEDY,"{'seed': '42', 'time_limit': '30.0'}","{""destroy_proba"": 0.53, ""destroy_steps"": 13, ""destroy_t"": 1.3, ""rebuild_proba"": 0.29, ""rebuild_steps"": 3, ""rebuild_t"": 1.2}",1.4895374774932861,,,
Hust,Hust_n5_m5_k2,8,8,335,12,2025-12-28T10:54:49+00:00,ALNS,"{'seed': '42', 'time_limit': '240.0'}","{""scores"": [10, 4, 1, 0], ""decay"": 0.8}",228.28532600402832,,,
