attempt_id,timestamp,dataset,instance,solver,seed,time_limit,hyperparams,status,elapsed_time,cost,info,note
24,2025-12-28T11:00:11+00:00,Hust,Hust_n5_m5_k2,MCTS,42,240.0,"{""width"": 3, ""uct_c"": 0.416, ""cutoff_depth"": 14, ""cutoff_depth_inc"": 3, ""cutoff_iter"": 13334, ""reward_pow"": 2.4}",done,0.6749358177185059,357,"{""iterations"": 1, ""best_rollout_cost"": 1000000000000000000, ""used_best_rollout"": true}",Test optimality
25,2025-12-28T11:32:35+00:00,Hust,Hust_n10_m10_k2,BNB,42,240.0,,overtime,240.00979018211365,,"{""num_actions"": 5998258, ""num_solutions"": 0, ""best_cost"": ""N/A""}",Test optimality
26,2025-12-28T11:36:35+00:00,Hust,Hust_n3_m3_k2,BNB,42,240.0,,done,0.1963357925415039,,"{""num_actions"": 9560, ""num_solutions"": 0, ""best_cost"": ""N/A""}",Test optimality
27,2025-12-28T11:36:35+00:00,Hust,Hust_n5_m5_k2,BNB,42,240.0,,overtime,240.0122458934784,,"{""num_actions"": 7458444, ""num_solutions"": 0, ""best_cost"": ""N/A""}",Test optimality
28,2025-12-28T12:48:35+00:00,Hust,Hust_n10_m10_k2,BNB,42,60.0,,done,0.0,848,"{""num_actions"": 32, ""num_solutions"": 1, ""num_pruned"": 0, ""best_cost"": 848}",Test optimality
29,2025-12-28T12:48:35+00:00,Hust,Hust_n3_m3_k2,BNB,42,60.0,,done,0.0,72,"{""num_actions"": 11, ""num_solutions"": 1, ""num_pruned"": 0, ""best_cost"": 72}",Test optimality
30,2025-12-28T12:48:35+00:00,Hust,Hust_n5_m5_k2,BNB,42,60.0,,done,0.008295059204101562,532,"{""num_actions"": 17, ""num_solutions"": 1, ""num_pruned"": 0, ""best_cost"": 532}",Test optimality
31,2025-12-29T16:48:49+00:00,Hust,Hust_n10_m10_k2,EXHAUST,42,60.0,,timeout,61.80002045631409,,"{""solutions_found"": 0, ""best_cost"": ""N/A""}",Test optimality
32,2025-12-29T16:49:51+00:00,Hust,Hust_n3_m3_k2,EXHAUST,42,60.0,,done,0.45097827911376953,54,"{""solutions_found"": 4, ""best_cost"": 54}",Test optimality
33,2025-12-29T16:49:52+00:00,Hust,Hust_n5_m5_k2,EXHAUST,42,60.0,,done,54.90569353103638,325,"{""solutions_found"": 6, ""best_cost"": 325}",Test optimality
34,2025-12-29T22:17:32+00:00,Hust,Hust_n10_m10_k2,BNB,42,60.0,,timeout,60.00014114379883,,"{""solutions_found"": 0, ""best_cost"": ""N/A""}",Test optimality
35,2025-12-29T22:18:32+00:00,Hust,Hust_n3_m3_k2,BNB,42,60.0,,done,0.09771299362182617,,"{""solutions_found"": 0, ""best_cost"": ""N/A""}",Test optimality
36,2025-12-29T22:18:32+00:00,Hust,Hust_n5_m5_k2,BNB,42,60.0,,done,2.2861006259918213,325,"{""solutions_found"": 1, ""best_cost"": 325}",Test optimality
37,2026-01-18T10:29:40+00:00,Hust,Hust_n10_m10_k2,ACO,,60.0,"{""width"": 5, ""q_prob"": 0.72, ""alpha"": 1.36, ""beta"": 1.38, ""omega"": 3, ""phi"": 0.43, ""chi"": 1.77, ""gamma"": 0.4, ""kappa"": 2.34, ""sigma"": 12, ""rho"": 0.62}",done,17.191110134124756,739,"{""iterations"": 5, ""best_cost"": 739, ""elitists_count"": 50}",
